id,title,class
1,这个寒假我管得有点宽,12
2,在“互联网+”背景下对高中政治课堂教学模式的研究,54
3,小学语文素质教育浅谈,56
4,小学音乐课堂兴趣与高效课堂搭建,12
5,从细节入手　从小事做起——做学生喜欢老师的几点做法,54
6,小学班主任的管理艺术之我见,54
7,新课标下高中物理教学之反思,54
8,加强训练　提高小学数学的教学能力,56
9,中职语文教学如何创建效率课堂研究,54
10,对新课标下高中物理课堂教学模式的反思,54
11,探究小学道德与法治教学目标的制定,54
12,杏林医德论,130
13,新时代背景下国有企业政工管理模式优化创新探究,12
14,浅谈培养初中学生数学“推理、提问和创新”能力,12
15,初中数学教学浅析,54
16,谈初中语文教学运用情感教育教学,54
17,初中物理教学中创造性思维的培养,54
18,浅析初中政治教学存在的问题与对策,31
19,如何做好小学班主任工作,56
20,试论分层教学的有效途径,31
21,小学语文教学如何培养学生的自主创新能力,54
22,浅析如何做好小学语文阅读教学,54
23,小学语文教学中如何进行美育渗透,54
24,中学数学中的美育小议,12
25,探析高中班主任班级管理方法,386
26,浅谈高中物理教学中的问题设计,54
27,小学数学游戏教学过程中的应用,54
28,浅谈如何提高小学数学课堂实效,12
29,如何建立轻松愉快的课堂氛围,54
30,研究高中物理课堂教学中高效教学的应用策略,54
31,智能化管理对我国当代图书馆管理工作的影响分析,12
32,高校图书馆在大数据环境下的学科服务策略,18
33,现代企业档案管理工作的信息化建设探析,23
34,枸杞标准化栽培技术,281
35,小议如何促使初中政治实现高效化教学,54
36,如何在高中生物课堂中渗透人文精神教育,54
37,初中语文课堂中作文创新教学之管窥,12
38,小学数学集体备课中教育资源共享的研究,12
39,初中音乐教学渗透新课程理念方法浅谈,54
40,浅析如何提高高校计算机网络教学的有效性,23
41,农村中学生学习英语兴趣的培养,56
42,浅析小学数学教学导入设计的几点思考,56
43,让积累的语言活化,54
44,浅论苏轼的人生态度,54
45,公路桥梁施工中的软土地基施工技术探究,23
46,小学数学课堂教学中激发学生学习兴趣的方法探讨,56
47,在初中英语语法教学中存在的问题和解决措施,54
48,高中英语书面表达中的几点思考,54
49,有关高中生物教学的探讨,54
50,童谣的德育功能及其运用,18
51,动画资源在小学美术教学中的有效利用,56
52,如何加强小学班主任管理工作,54
53,如何构建开放式小学数学课堂,54
54,促进学生自主学习的几点体会,54
55,浅析英文歌曲在高中英语教学中的作用,22
56,浅谈莫言的艺术风格,5
57,一种新式镗刀,22
58,公共图书馆现代科普教育思考,54
59,大数据时代图书馆服务创新策略分析,12
60,纪念馆免费开放现状及对策研究,31
61,基于资源网络共享理念下的图书馆馆藏文献开发策略,12
62,初中政治教学之我见,54
63,谈小学数学课堂设计,12
64,基于词块的初中英语写作教学探究,54
65,谈初中数学的教学策略,54
66,高中数学教学须发挥试卷讲评课的激励功能,54
67,我的梦想,1
68,浅析情境教学法在中职计算机教学中的应用,22
69,新理课程下的高中语文阅读教学,54
70,提高小学数学课堂教学的有效性,54
71,浅议小学语文阅读识字教学,56
72,以互动教学为载体  构建初中科学课堂,54
73,如何做好班主任和班主任工作自身能力与核心问题的研究,12
74,初中英语教学中如何发挥学生主体作用,56
75,小学语文童话教学的有效性措施,54
76,如何提高小学语文课堂教学有效性,22
77,如何增强初中历史教学趣味性,56
78,改变观念 搞好体育教学,24
79,浅谈初中语文课堂情境教学的有效性,56
80,浅谈初中物理探究式课堂教学,54
81,小学英语高效课堂的构建浅析,22
82,高中物理教学中如何培养学生创新能力,54
83,小学数学教学如何培养学生的素养,54
84,提高小学数学课堂教学质量的对策,54
85,高效课堂是初中英语教师的境界,12
86,小学音乐教学中合唱教法的策略分析,12
87,浅析多媒体技术在初中历史教学中的应用,22
88,立足岗位 做“四讲四有”干部教育培训学院合格党员教师,54
89,小学语文拼音学生认知分析,56
90,探究小学数学教学方法的优化,112
91,浅析初中语文汉语言文学教学,1
92,浅析边疆地区物理教学中如何创设物理情境提高课堂效率,56
93,浅谈初中化学教策略,56
94,德育为先，深化五德教育活动,386
95,小学语文教学中如何联系生活的个人看法,54
96,如何契合课改创新理念优化初中语文教学方式,12
97,高中语文新课程改革势在必行,54
98,小学体育教学有效途径的策略研究,31
99,说说“差生”,12
100,聋生心理健康教育教学的问题与思考,54
