id,title,key
1,这个寒假我管得有点宽,学生 感性 灵动 理性 教育 应该 真正 成为 立足于 多做实事
2,在“互联网+”背景下对高中政治课堂教学模式的研究,互联网 背景 模式 政治 课堂教学 兴盛 特征 主题 高中政治 优势
3,小学语文素质教育浅谈,素质教育 语文 最高 寓于 名师 精讲 教是 高度重视 挖掘 优势
4,小学音乐课堂兴趣与高效课堂搭建,音乐 搭建 小学 有着 艺术 课堂 提升 兴趣 寻找 出路
5,从细节入手　从小事做起——做学生喜欢老师的几点做法,数学 老师 思考 种种原因 小事 更是 愿意 尽力 琢磨 遇到
6,小学班主任的管理艺术之我见,班主任 管理 艺术 结晶 理论修养 相结合 教育 经验 理论 实践
7,新课标下高中物理教学之反思,新课标 口号 教学模式 教育 学论 结构化 组织化 全新 树立 反思
8,加强训练　提高小学数学的教学能力,训练 有利于 数学 计划 思维能力 全面提高 小学 学生 教学质量 提高
9,中职语文教学如何创建效率课堂研究,语文 中职 面对 科目 创造 学生 效率 教学 兴趣 新颖
10,对新课标下高中物理课堂教学模式的反思,新课标 口号 教学模式 教育 课堂教学 学论 结构化 组织化 稳定 树立
11,探究小学道德与法治教学目标的制定,法治 实施 教育 思想 小学 教学 法制观念 正确引导 教育部 铺垫
12,杏林医德论,医德 大学 君子 活人 医患 水利 自强不息 老子 亲民 医学
13,新时代背景下国有企业政工管理模式优化创新探究,国有企业 管理模式 时代背景 政工 企业 探究 实力 潮流 激烈 愈加
14,浅谈培养初中学生数学“推理、提问和创新”能力,数学 应用 问题 蕴藏 推理 现实生活 面对现实 角度 寻求 知识
15,初中数学教学浅析,数学 学习 合作 学生 活动 自主 交流 经验 探索 过程
16,谈初中语文教学运用情感教育教学,情感 教育 运用 教学 引起 深入研究 高度重视 环节 合理 创设
17,初中物理教学中创造性思维的培养,物理 创造性 创新能力 学生 思维 创新 重任 投入 思维习惯 输送
18,浅析初中政治教学存在的问题与对策,课程 政治 存在 教学 问题 消极态度 专业 思想观念 找出 教学改革
19,如何做好小学班主任工作,班主任 工作 能够 成为 学校 全班学生 楷模 纽带 重中之重 沟通
20,试论分层教学的有效途径,分层 教学 全体学生 面向 个性 教育 发展 健康 紧张 师资
21,小学语文教学如何培养学生的自主创新能力,自主 创新能力 语文 小学 具有 有利于 学生 学习 一定 培养
22,浅析如何做好小学语文阅读教学,阅读 语文 语文课程 阅读教学 小学 地位 能够 学科 学习 学生
23,小学语文教学中如何进行美育渗透,教材 语文 小学 双重 语言文字 儿童 阐明 教会 表述 领悟
24,中学数学中的美育小议,欣赏 美育 数学 功能 人们 感染 份量 智育 激起 心灵
25,探析高中班主任班级管理方法,班级 管理 班主任 师生关系 探析 引导者 场所 单位 日常 和谐
26,浅谈高中物理教学中的问题设计,设计 学生 问题 物理 需要 过程 建构 主导作用 角度看 双向交流
27,小学数学游戏教学过程中的应用,数学 小学 过程 游戏 应用 效率 提高 课堂教学 启蒙教育 好动
28,浅谈如何提高小学数学课堂实效,课堂教学 数学 发展 学生 关注 有效性 活动 提高 实用性 学有
29,如何建立轻松愉快的课堂氛围,氛围 教学 真正 参与 改变 课堂 需要 教师 学生 与时俱进
30,研究高中物理课堂教学中高效教学的应用策略,高效 高中物理 阶段 策略 应用 学习 研究 课堂教学 生涯 物理科
31,智能化管理对我国当代图书馆管理工作的影响分析,管理 图书馆 管理工作 影响 不容忽视 作用 应用 分析 对此 供参考
32,高校图书馆在大数据环境下的学科服务策略,数据 图书馆 服务 高校 环境 技术 转变 功能 时代 信息时代
33,现代企业档案管理工作的信息化建设探析,企业 档案 信息化 建设 工作 单位 重要 加强 企事业 迫切
34,枸杞标准化栽培技术,壤土 枸杞 兼用 栽培 栽培技术 季节 耐寒性 耐盐碱 植物 茄科
35,小议如何促使初中政治实现高效化教学,高效化 政治 促使 实现 成熟 教学 笔者 目标 实践 思想
36,如何在高中生物课堂中渗透人文精神教育,生物 人文 人文精神 高中生物 渗透 人才 知识 教育 学科 教学
37,初中语文课堂中作文创新教学之管窥,作文 写作 忽视 成绩 教师 教学 现象 干涩 分值 创新性
38,小学数学集体备课中教育资源共享的研究,备课 集体 出现 教师 工作效率 独立 模式 逐渐 问题 老师
39,初中音乐教学渗透新课程理念方法浅谈,音乐 情感 理念 新课程 重在 热爱生活 熏陶 价值观 传授 文化教育
40,浅析如何提高高校计算机网络教学的有效性,计算机网络 高校 教学模式 有效性 计算机信息 制度 升级 进程 加快 程度
41,农村中学生学习英语兴趣的培养,农村 英语 兴趣 中学 英语老师 学生 学习 口头 偏低 各不相同
42,浅析小学数学教学导入设计的几点思考,导入 部分 成功 数学 设计 知识 老师 小学 过程 一节课
43,让积累的语言活化,积累 语言 活化 语文 运用 初步 教学 祖国 经典 接龙
44,浅论苏轼的人生态度,文学 摘要 浅论 伴随 人生态度 人物 统治阶级 变革 局面 五代十国
45,公路桥梁施工中的软土地基施工技术探究,桥梁 公路 土地 经济 系统 得以 刺激 施工 建筑 道路
46,小学数学课堂教学中激发学生学习兴趣的方法探讨,激发 兴趣 数学 方法 课堂教学 收到 感到 爱学 有趣 志趣
47,在初中英语语法教学中存在的问题和解决措施,语法 教学 交际 备受 侧重 词汇 英语语法 规则 议论 讲解
48,高中英语书面表达中的几点思考,存在 问题 相关 书面 表达 建议 对策 写作 提出 思考
49,有关高中生物教学的探讨,高中生物 利用生物 科学素养 培养 深入研究 课题 生物 精神 背景 创新能力
50,童谣的德育功能及其运用,功能 生活 具有 推广 可演 可唱 流传于世 开辟 娱乐性 新天地
51,动画资源在小学美术教学中的有效利用,美术 信息技术 动画 有效 小学 能力 资源 教学 培养 助益
52,如何加强小学班主任管理工作,班主任 管理工作 学校 加强 小学 重要 学生 开展 工作 活动
53,如何构建开放式小学数学课堂,开放式 构建 数学 课堂 小学 战略 强国 自由 平等 成长
54,促进学生自主学习的几点体会,自主 学生 学习 方面 促进 自律性 强化 剖析 自理 着重
55,浅析英文歌曲在高中英语教学中的作用,必修 多种形式 比较 呈现 科目 时间 活力 价值 带来 体现
56,浅谈莫言的艺术风格,创作 话语 先生 作家 作品 艺术风格 内容 具有 文学作品 风格
57,一种新式镗刀,加工 机械加工 不断 工件 高强度 镗刀 深孔 工序 难点 新式
58,公共图书馆现代科普教育思考,图书馆 文化 教育 地理 立法 阵地 自信 离不开 公益 自然科学
59,大数据时代图书馆服务创新策略分析,数据 服务 图书馆 时代 策略 创新 分析 到来 概念 深远
60,纪念馆免费开放现状及对策研究,纪念馆 免费 开放 人流量 增加 对策 公民 人力资源 懈怠 员工
61,基于资源网络共享理念下的图书馆馆藏文献开发策略,图书馆 原则 文献 开发 资源 理念 进行 分析 统筹规划 切实可行
62,初中政治教学之我见,过程 方式 思维 能力 认识论 获取 采取 教学 创造 指导
63,谈小学数学课堂设计,设计 数学 小学 学习 新课程 学生 有效 应该 笔者 实现
64,基于词块的初中英语写作教学探究,英语 写作能力 词块 锻炼 运用 学生 受到重视 构成 教育体制 单词
65,谈初中数学的教学策略,教学策略 制定 课本 数学 教学要求 优劣 考虑 教学服务 学习效果 传声筒
66,高中数学教学须发挥试卷讲评课的激励功能,发现 激励 规律 高中数学 性质 讲评 试卷 最深 容易 联系
67,我的梦想,梦想 书法家 由来已久 例外 激励 灵动 激起 激烈 激活 激发
68,浅析情境教学法在中职计算机教学中的应用,计算机 中职 情境 计算机专业 需求 教学法 从事 满足 学生 特点
69,新理课程下的高中语文阅读教学,阅读教学 阅读 教师 语文 闭塞 相当 新理 部门 归宿 地区
70,提高小学数学课堂教学的有效性,有效性 数学 课堂教学 做到 小学 学生 提高 活动 过程 积极主动
71,浅议小学语文阅读识字教学,识字 阅读 学生 兴趣 多读 以读 互助 母语 顺通 注音
72,以互动教学为载体  构建初中科学课堂,互动 科学 改善 明显 融洽 互动性 关系 感染力 载体 课堂
73,如何做好班主任和班主任工作自身能力与核心问题的研究,班主任 当好 合格 工作 需要 教师 互相联系 总结经验 密不可分 校长
